Abstract,Titulo_Real,Titulo_Predito,Score,Experimento
"  The aim of the present work is to show how, using the differential calculus
associated to Dirichlet forms, it is possible to construct Fredholm modules on
post critically finite fractals by regular harmonic structures. The modules are
d-summable, the summability exponent d coinciding with the spectral dimension
of the generalized laplacian operator associated with the regular harmonic
structures. The characteristic tools of the noncommutative infinitesimal
calculus allow to define a d-energy functional which is shown to be a
self-similar conformal invariant.
","Fredholm Modules on P.C.F. Self-Similar Fractals and their Conformal
  Geometry","Title: ""Constructing Fredholm Modules via Differential Calculus and Noncommutative Infinitesimal Calculus""",0.49809265,baseline
"  A model for beam customization with collimators and a range-compensating
filter based on the phase-space theory for beam transport is presented for dose
distribution calculation in treatment planning of radiotherapy with protons and
heavier ions. Independent handling of pencil beams in conventional pencil-beam
algorithms causes unphysical collimator-height dependence in the middle of
large fields, which is resolved by the framework comprised of generation,
transport, collimation, regeneration, range-compensation, and edge-sharpening
processes with a matrix of pencil beams. The model was verified to be
consistent with measurement and analytic estimation at a submillimeter level in
penumbra of individual collimators with a combinational-collimated carbon-ion
beam. The model computation is fast, accurate, and readily applicable to
pencil-beam algorithms in treatment planning with capability of combinational
collimation to make best use of the beam-customization devices.
","Computational modeling of beam-customization devices for
  heavy-charged-particle radiotherapy",Beam Customization Based on Phase-Space Theory for Treatment Planning of Proton and Heavy Ion Beam Delivery: Dose Distribution Calculation,0.7032052,baseline
"  We have performed temperature (T) - dependent laser-photoemission
spectroscopy of antiferromagnetic (AF) superconductor ErNi2B2C to study the
electronic-structure evolution reflecting the interplay between
antiferromagnetism and superconductivity. The spectra at the superconducting
(SC) phase show a very broad spectral shape. T-dependent SC gap shows a sudden
deviation from the BCS prediction just below TN. This observation can be well
explained by the theoretical model and thus represents characteristic bulk
electronic structure of the AF SC phase for the first time.
","Bulk electronic structure of the antiferromagnetic superconducting phase
  in ErNi2B2C","Title: ""Emerging Trends in Temperature-Dependent Laser-Photoelectron Spectroscopy of Antiferromagnetic Superconductors: A Review""",0.58165294,baseline
"  An implementation of weak values is investigated in solid-state qubits. We
demonstrate that a weak value can be non-classical if and only if a
Leggett-Garg inequality can also be violated. Generalized weak values are
described, where post-selection on a range of weak measurement results.
Imposing classical weak values permits the derivation of Leggett-Garg
inequalities for bounded operators. Our analysis is presented in terms of
kicked quantum nondemolition measurements on a quantum double-dot charge qubit.
",Weak values and the Leggett-Garg inequality in solid-state qubits,Implementing Weak Values: A Novel Approach to Quantum Mechanics,0.557515,baseline
"  Software is a communication system. The usual topic of communication is
program behavior, as encoded by programs. Domain-specific libraries are
codebooks, domain-specific languages are coding schemes, and so forth. To turn
metaphor into method, we adapt toolsfrom information theory--the study of
efficient communication--to probe the efficiency with which languages and
libraries let us communicate programs. In previous work we developed an
information-theoretic analysis of software reuse in problem domains. This new
paper uses information theory to analyze tradeoffs in the design of components,
generators, and metalanguages. We seek answers to two questions: (1) How can we
judge whether a component is over- or under-generalized? Drawing on minimum
description length principles, we propose that the best component yields the
most succinct representation of the use cases. (2) If we view a programming
language as an assemblage of metalanguages, each providing a complementary
style of abstraction, how can these metalanguages aid or hinder us in
efficiently describing software? We describe a complex triangle of interactions
between the power of an abstraction mechanism, the amount of reuse it enables,
and the cognitive difficulty of its use.
",Parsimony Principles for Software Components and Metalanguages,"""Information-Theoretic Analysis of Software Components: A Framework for Efficient Program Representation""",0.47047213,baseline
"  I discuss some recent developments in chiral effective field theory for
few-nucleon systems.
",Chiral dynamics of few-nucleon systems,Chiral Effective Field Theory: A Review of Recent Developments in Few-Nucleon Systems,0.84077024,baseline
"  We present a model for the prediction of the optical/infra-red emission from
ULXs. In the model, ULXs are binary systems with accretion taking place through
Roche lobe overflow. We show that irradiation effects and presence of an
accretion disk significantly modify the optical/infrared flux compared to
single stars, and also that the system orientation is important. We include
additional constraints from the mass transfer rate to constrain the parameters
of the donor star, and to a lesser extent the mass of the BH. We apply the
model to fit photometric data for several ULX counterparts. We find that most
donor stars are of spectral type B and are older and less massive than reported
elsewhere, but that no late-type donors are admissable. The degeneracy of the
acceptable parameter space will be significantly reduced with observations over
a wider spectral range, and if time-resolved data become available.
","On the Nature of Ultra-Luminous X-ray Sources from Optical/IR
  Measurements",A model of the optical/IR emission from ULXs: implications for the observed luminosities and masses of ULX counterparts,0.6040611,baseline
"  The arrow of time dilemma: the laws of physics are invariant for time
inversion, whereas the familiar phenomena we see everyday are not (i.e. entropy
increases). I show that, within a quantum mechanical framework, all phenomena
which leave a trail of information behind (and hence can be studied by physics)
are those where entropy necessarily increases or remains constant. All
phenomena where the entropy decreases must not leave any information of their
having happened. This situation is completely indistinguishable from their not
having happened at all. In the light of this observation, the second law of
thermodynamics is reduced to a mere tautology: physics cannot study those
processes where entropy has decreased, even if they were commonplace.
",A quantum solution to the arrow-of-time dilemma,The Arrow of Time Dilemma: Entropy and the Laws of Physics,0.5765219,baseline
"  In this paper we lay special stress on analyzing the topological properties
of the lattice systems and try to ovoid the conventional ways to calculate the
critical points. Only those clusters with finite sizes can execute the self
similar transformations of infinite hierarchies. Each ordered cluster has
fractal dimension, their minimum relates to the edge fixed point, which accords
with the transformations fixed point relating to a critical point. There are
two classes of systems and clusters by their connectivity. Using mathematic
mapping method we set up cluster-spin Gaussian model solved accurately. There
are single state and -fold coupling state in a reducible cluster, each of which
corresponds to a subsystem described by a Gaussian model. By the minimal
fractal dimension a final expression of the critical points is obtained. The
critical points of three lattice systems are calculated, our method makes the
calculations very simplified and highly accurate. A possibility of existence of
different clusters at the critical temperature is discussed.
",Cluster-Spin Gaussian Model for Lattice-Ising Models,Title: **Analyzing Lattice Systems: From Critical Points to Fractal Dimensions**,0.48383635,baseline
"  In this article we discuss network growth based on Prisoner's Dilemma(PD)
where palyers on nodes in a network palay with its linked players. The players
estimate total profits in the PD. When a new node is attached, the node make
linkes to nodes in the network with the probabilities in proportion to the
profits made by the game. Iterating this process, a network grows. We
investigate properties of this type of growing networks, especially the degree
distribution and time-depending strategy distribution by running computer
simulation. We also find a sort of phase transition in the strategy
distributions. For these phenomena given by computer simulation, theoretical
studies are also carried out.
","Network Growth via Preferential Attachment based on Prisoner's Dilemma
  Game","Title: ""Network Growth through the Prisoner's Dilemma: A Simulation Analysis and Phase Transition Studies""",0.8060012,baseline
"  We have linked the structural and dynamic properties in aqueous solution of
amphiphilic charged diblock copolymers poly(butyl acrylate)-b-poly(acrylic
acid), PBA-b-PAA, synthesized by controlled radical polymerization, with the
physico-chemical characteristics of the samples. Despite product imperfections,
the samples self-assemble in melt and aqueous solutions as predicted by
monodisperse microphase separation theory. However, the PBA core are abnormally
large; the swelling of PBA cores is not due to AA (the Flory parameter
chiPBA/PAA, determined at 0.25, means strong segregation), but to h-PBA
homopolymers (content determined by Liquid Chromatography at the Point of
Exclusion and Adsorption Transition LC-PEAT). Beside the dominant population of
micelles detected by scattering experiments, capillary electrophoresis CE
analysis permitted detection of two other populations, one of h-PAA, and the
other of free PBA-b-PAA chains, that have very short PBA blocks and never
self-assemble. Despite the presence of these free unimers, the self-assembly in
solution was found out of equilibrium: the aggregation state is history
dependant and no unimer exchange between micelles occurs over months
(time-evolution SANS). The high PBA/water interfacial tension, measured at 20
mN/m, prohibits unimer exchange between micelles. PBA-b-PAA solution systems
are neither at thermal equilibrium nor completely frozen systems: internal
fractionation of individual aggregates can occur.
","Chemical analysis and aqueous solution properties of Charged Amphiphilic
  Block Copolymers PBA-b-PAA synthesized by MADIX","Title: ""Structural and Dynamic Properties of Amphiphilic Charged Diblock Copolymers Synthesized by Controlled Radical Polymerization""
This title captures the key aspects of the research described:
1. It highlights the structure of the materials being studied (amphiphilic, charged, diblock",0.6343811,baseline
"  Considering a wireless sensor network whose nodes are distributed randomly
over a given area, a probability model for the network lifetime is provided.
Using this model and assuming that packet generation follows a Poisson
distribution, an analytical expression for the complementary cumulative density
function (ccdf) of the lifetime is obtained. Using this ccdf, one can
accurately find the probability that the network achieves a given lifetime. It
is also shown that when the number of sensors, $N$, is large, with an error
exponentially decaying with $N$, one can predict whether or not a certain
lifetime can be achieved. The results of this work are obtained for both
multi-hop and single-hop wireless sensor networks and are verified with
computer simulation. The approaches of this paper are shown to be applicable to
other packet generation models and the effect of the area shape is also
investigated.
",A Probability Model for Lifetime of Wireless Sensor Networks,"Title: ""Optimal Lifetime Prediction in Wireless Sensor Networks: A Probability Model Based Approach""

This title encapsulates the key aspects discussed in the passage:
- Focuses on optimizing the lifetime prediction for wireless sensor networks,
- Mentions probabilistic modeling as the foundation,
- Indicates the use of a probability model,
- All",0.84223276,baseline
"  In this letter we present an experimental realization of the quantum
mechanics textbook example of two interacting electronic quantum states that
hybridize forming a molecular state. In our particular realization, the quantum
states themselves are fabricated as quantum dots in a molecule, a carbon
nanotube.
  For sufficient quantum-mechanical interaction (tunnel coupling) between the
two quantum states, the molecular wavefunction is a superposition of the two
isolated (dot) wavefunctions. As a result, the electron becomes delocalized and
a covalent bond forms.
  In this work, we show that electrical transport can be used as a sensitive
probe to measure the relative weight of the two components in the superposition
state as a function of the gate-voltages.
  For the field of carbon nanotube double quantum dots, the findings represent
an additional step towards the engineering of quantum states.
","Mapping electron delocalization by charge transport spectroscopy in an
  artificial molecule","""Quantum Dynamics in Molecules: A Realization of Two-Component Quantum States through Molecular Dots""",0.38863105,baseline
"  A unitary family is a family of unitary operators $U(x)$ acting on a finite
dimensional hermitian vector space, depending analytically on a real parameter
$x$. It is monotone if $\frac1i U'(x)U(x)^{-1}$ is a positive operator for each
$x$. We prove a number of results generalizing standard theorems on the
spectral theory of a single unitary operator $U_0$, which correspond to the
'commutative' case $U(x)=e^{ix}U_0$. Also, for a two-parameter unitary family
-- for which there is no analytic perturbation theory -- we prove an implicit
function type theorem for the spectral data under the assumption that the
family is monotone in one argument.
",Monotone unitary families,"Title: Unitary Families and Spectral Data for Monotone Families

This title encapsulates the main themes of the research discussed:
- ""Unitary Families"" refers to families of unitary operators acting on a vector space,
- ""Spectral Data"" denotes the mathematical concept related to eigenvalues and eigenvectors",0.7072116,baseline
"  Experimentally the charmonium hyperfine splitting is
$M_{J/\psi}-M_{\eta_c}=117$ MeV and current lattice results are generally below
this value. The difference could be due to the effects of the disconnected
flavor singlet diagrams which have not been included in these calculations.
Previous attempts to determine the disconnected flavor singlet corrections have
led just to rough estimates in the range of $\pm 20$ MeV. We present
preliminary results for these corrections calculated on fine ($a\approx 0.09$
fm) Asqtad 2+1 flavor lattices provided by the MILC Collaboration.
","Effects of the disconnected flavor singlet corrections on the hyperfine
  splitting in charmonium","""Recent Results on Charmonium Hyperfine Splitting: Contributions from Flavor Singlets and Beyond""",0.90763843,baseline
"  We calculate the spin-transfer torque in Fe/MgO/Fe tunnel junctions and
compare the results to those for all-metallic junctions. We show that the
spin-transfer torque is interfacial in the ferromagnetic layer to a greater
degree than in all-metallic junctions. This result originates in the half
metallic behavior of Fe for the $\Delta_1$ states at the Brillouin zone center;
in contrast to all-metallic structures, dephasing does not play an important
role. We further show that it is possible to get a component of the torque that
is out of the plane of the magnetizations and that is linear in the bias.
However, observation of such a torque requires highly ideal samples. In samples
with typical interfacial roughness, the torque is similar to that in
all-metallic multilayers, although for different reasons.
",Ab initio studies of the spin-transfer torque in tunnel junctions,"""Spin-Transfer Torque in Metal-Metal Junctions: A Comparative Study with All-Metallic Structures""",0.73708403,baseline
"  The possibility of deforming the (associative or Lie) product to obtain
alternative descriptions for a given classical or quantum system has been
considered in many papers. Here we discuss the possibility of obtaining some
novel alternative descriptions by changing the linear structure instead. In
particular we show how it is possible to construct alternative linear
structures on the tangent bundle TQ of some classical configuration space Q
that can be considered as ""adapted"" to the given dynamical system. This fact
opens the possibility to use the Weyl scheme to quantize the system in
different non equivalent ways, ""evading"", so to speak, the von Neumann
uniqueness theorem.
",Alternative linear structures for classical and quantum systems,Alternative Linear Structures on Tangent Bundles and Weyl Quantization,0.50635624,baseline
"  We study how the two-point density correlation properties of a point particle
distribution are modified when each particle is divided, by a stochastic
process, into an equal number of identical ""daughter"" particles. We consider
generically that there may be non-trivial correlations in the displacement
fields describing the positions of the different daughters of the same ""mother""
particle, and then treat separately the cases in which there are, or are not,
correlations also between the displacements of daughters belonging to different
mothers. For both cases exact formulae are derived relating the structure
factor (power spectrum) of the daughter distribution to that of the mother.
These results can be considered as a generalization of the analogous equations
obtained in ref. [1] (cond-mat/0409594) for the case of stochastic displacement
fields applied to particle distributions. An application of the present results
is that they give explicit algorithms for generating, starting from regular
lattice arrays, stochastic particle distributions with an arbitrarily high
degree of large-scale uniformity.
","Two-point correlation properties of stochastic ""cloud processes''","Exact formulas for the two-point correlation functions of daughter distributions 
from the parent distributions obtained by dividing the latter into identical
subparticles are presented. The derivation involves the use of a technique
of independent variable transformation, which allows one to relate
the daughter distribution to the parent distribution without any loss
of generality.",0.45719552,baseline
"  The effects of the peculiar CP conserving phases in unparticle propagators
are explored. We find that the phases have a great impact on CP-violation. We
adopt the decays $B_{d}\to \pi^{+} \pi^{-}$ and $B_{d}\to \ell^{-}\ell^{+}$ as
the illustrators to demonstrate the influences of these phases on the direct CP
asymmetries. In particular, we emphasize that unparticle physics is the only
model suggested to date that could give the direct CP asymmetries in $B_d\to
\ell^{-} \ell^{+}$ as large as 15%. We also point out that the unparticle
phases could be probed in $B\to K^* \ell^{+} \ell^{-}$ decays by using T-odd
correlations.
",Unparticle physics on direct CP violation,"""Unparticle Physics and CP Violation: A New Perspective on Direct CP Asymmetries""",0.9060872,baseline
"  We construct a pair of compact, eight-dimensional, two-step Riemannian
nilmanifolds $M$ and $M'$ which are isospectral for the Laplace operator on
functions and such that $M$ has completely integrable geodesic flow in the
sense of Liouville, while $M'$ has not. Moreover, for both manifolds we analyze
the structure of the submanifolds of the unit tangent bundle given by to
maximal continuous families of closed geodesics with generic velocity fields.
The structure of these submanifolds turns out to reflect the above
(non)integrability properties. On the other hand, their dimension is larger
than that of the Lagrangian tori in $M$, indicating a degeneracy which might
explain the fact that the wave invariants do not distinguish an integrable from
a nonintegrable system here. Finally, we show that for $M$, the invariant
eight-dimensional tori which are foliated by closed geodesics are dense in the
unit tangent bundle, and that both $M$ and $M'$ satisfy the so-called Clean
Intersection Hypothesis.
","Integrability of geodesic flows and isospectrality of Riemannian
  manifolds","Title: **""Integrability and Degeneracies in Non-Integrable Systems: A Pair of Eight-Dimensional Compact Manifolds with Completely Integrable Geodesic Flow and Maximal Closed Families of Geodesics""**",0.7181549,baseline
"  This paper deals with topos-theoretic truth-value valuations of quantum
propositions. Concretely, a mathematical framework of a specific type of modal
approach is extended to the topos theory, and further, structures of the
obtained truth-value valuations are investigated. What is taken up is the modal
approach based on a determinate lattice $\Dcal(e,R)$, which is a sublattice of
the lattice $\Lcal$ of all quantum propositions and is determined by a quantum
state $e$ and a preferred determinate observable $R$. Topos-theoretic extension
is made in the functor category $\Sets^{\CcalR}$ of which base category
$\CcalR$ is determined by $R$. Each true atom, which determines truth values,
true or false, of all propositions in $\Dcal(e,R)$, generates also a
multi-valued valuation function of which domain and range are $\Lcal$ and a
Heyting algebra given by the subobject classifier in $\Sets^{\CcalR}$,
respectively. All true propositions in $\Dcal(e,R)$ are assigned the top
element of the Heyting algebra by the valuation function. False propositions
including the null proposition are, however, assigned values larger than the
bottom element. This defect can be removed by use of a subobject
semi-classifier. Furthermore, in order to treat all possible determinate
observables in a unified framework, another valuations are constructed in the
functor category $\Sets^{\Ccal}$. Here, the base category $\Ccal$ includes all
$\CcalR$'s as subcategories. Although $\Sets^{\Ccal}$ has a structure
apparently different from $\Sets^{\CcalR}$, a subobject semi-classifier of
$\Sets^{\Ccal}$ gives valuations completely equivalent to those in
$\Sets^{\CcalR}$'s.
",Topos-Theoretic Extension of a Modal Interpretation of Quantum Mechanics,"""Topos-Theoretic Truth-Value Valuations of Quantum Propositions via Modal Lattices""",0.7060901,baseline
"  The action sphere method program is written. The initial conditions set at
pericenter of planetocentric orbits. When action sphere radius is reached, the
heliocentric orbit is calculated and data redirected to numeric integration
program. The method is useful for capture and collision problem investigation.
The very preliminary numeric results were obtained and discussed. A manifold in
orbital elements space, leads to temporary capture about 50 year (4 Jupiter
revolutions), was found.
",The Gravisphere Method Algorithm Programming,"""Action Sphere Method: Capturing and Collision Analysis of Planetary Orbits""",0.5381961,baseline
"  The standard text-book Jacobi equation (equation of geodesic deviation)
arises by linearizing the geodesic equation around some chosen geodesic, where
the linearization is done with respect to the coordinates and the velocities.
The generalized Jacobi equation, introduced by Hodgkinson in 1972 and further
developed by Mashhoon and others, arises if the linearization is done only with
respect to the coordinates, but not with respect to the velocities. The
resulting equation has been studied by several authors in some detail for
timelike geodesics in a Lorentzian manifold. Here we begin by briefly
considering the generalized Jacobi equation on affine manifolds, without a
metric; then we specify to lightlike geodesics in a Lorentzian manifold. We
illustrate the latter case by considering particular lightlike geodesics (a) in
Schwarzschild spacetime and (b) in a plane-wave spacetime.
",On the generalized Jacobi equation,Generalized Jacobi Equations in Affine Manifolds: Geometrical Aspects and Applications,0.7550305,baseline
"  Let $I$ be a homogeneous Artinian ideal in a polynomial ring
$R=k[x_1,...,x_n]$ over a field $k$ of characteristic 0. We study an equivalent
condition for the generic initial ideal $\gin(I)$ with respect to reverse
lexicographic order to be almost reverse lexicographic. As a result, we show
that Moreno-Socias conjecture implies Fr\""{o}berg conjecture. And for the case
$\Codim I \le 3$, we show that $R/I$ has the strong Lefschetz property if and
only if $\gin(I)$ is almost reverse lexicographic. Finally for a monomial
complete intersection Artinian ideal $I=(x_1^{d_1},...,x_n^{d_n})$, we prove
that $\gin(I)$ is almost reverse lexicographic if $d_i > \sum_{j=1}^{i-1} d_j -
i + 1$ for each $i \ge 4$. Using this, we give a positive partial answer to
Moreno-Socias conjecture, and to Fr\""{o}berg conjecture.
",Conditions for Generic Initial Ideals to be Almost Reverse Lexicographic,"Title: **The Strong Lefschetz Property for Generic Initial Ideals**

This title encapsulates the main topic of the research paper by Moreno-Socias, focusing on the properties of generic initial ideals in homogeneous artinian rings, particularly when considering their behavior under reverse lexicographic ordering.

The title ""Strong",0.7226865,baseline
"  How do T Tauri disks accrete? The magneto-rotational instability (MRI)
supplies one means, but protoplanetary disk gas is typically too poorly ionized
to be magnetically active. Here we show that the MRI can, in fact, explain
observed accretion rates for the sub-class of T Tauri disks known as
transitional systems. Transitional disks are swept clean of dust inside rim
radii of ~10 AU. Stellar coronal X-rays ionize material in the disk rim,
activating the MRI there. Gas flows from the rim to the star, at a rate limited
by the depth to which X-rays ionize the rim wall. The wider the rim, the larger
the surface area that the rim wall exposes to X-rays, and the greater the
accretion rate. Interior to the rim, the MRI continues to transport gas; the
MRI is sustained even at the disk midplane by super-keV X-rays that Compton
scatter down from the disk surface. Accretion is therefore steady inside the
rim. Blown out by radiation pressure, dust largely fails to accrete with gas.
Contrary to what is usually assumed, ambipolar diffusion, not Ohmic
dissipation, limits how much gas is MRI-active. We infer values for the
transport parameter alpha on the order of 0.01 for GM Aur, TW Hyd, and DM Tau.
Because the MRI can only afflict a finite radial column of gas at the rim, disk
properties inside the rim are insensitive to those outside. Thus our picture
provides one robust setting for planet-disk interaction: a protoplanet interior
to the rim will interact with gas whose density, temperature, and transport
properties are definite and decoupled from uncertain initial conditions. Our
study also supplies half the answer to how disks dissipate: the inner disk
drains from the inside out by the MRI, while the outer disk photoevaporates by
stellar ultraviolet radiation.
","Inside-Out Evacuation of Transitional Protoplanetary Disks by the
  Magneto-Rotational Instability",How Do T Tauri Disks Acquire Mass?,0.3381757,baseline
"  The ATIC balloon-borne experiment measures the energy spectra of elements
from H to Fe in primary cosmic rays from about 100 GeV to 100 TeV. ATIC is
comprised of a fully active bismuth germanate calorimeter, a carbon target with
embedded scintillator hodoscopes, and a silicon matrix that is used as the main
charge detector. The silicon matrix produces good charge resolution for protons
and helium but only partial resolution for heavier nuclei. In the present
paper, the charge resolution of ATIC was improved and backgrounds were reduced
in the region from Be to Si by using the upper layer of the scintillator
hodoscope as an additional charge detector. The flux ratios of nuclei B/C, C/O,
N/O in the energy region from about 10 GeV/nucleon to 300 GeV/nucleon obtained
from this high-resolution, high-quality charge spectra are presented, and
compared with existing theoretical predictions.
","Relative abundances of cosmic ray nuclei B-C-N-O in the energy region
  from 10 GeV/n to 300 GeV/n. Results from ATIC-2 (the science flight of ATIC)",High-Resolution Cosmic Ray Spectroscopy: A Balloon-Borne Experiment (2023),0.5112598,baseline
"  In Refs.[1] and [2], calculation of effective resistances on distance-regular
networks was investigated, where in the first paper, the calculation was based
on the stratification of the network and Stieltjes function associated with the
network, whereas in the latter one a recursive formula for effective
resistances was given based on the Christoffel-Darboux identity. In this paper,
evaluation of effective resistances on more general networks called
pseudo-distance-regular networks [21] or QD type networks \cite{obata} is
investigated, where we use the stratification of these networks and show that
the effective resistances between a given node such as $\alpha$ and all of the
nodes $\beta$ belonging to the same stratum with respect to $\alpha$
($R_{\alpha\beta^{(m)}}$, $\beta$ belonging to the $m$-th stratum with respect
to the $\alpha$) are the same. Then, based on the spectral techniques, an
analytical formula for effective resistances $R_{\alpha\beta^{(m)}}$ such that
$L^{-1}_{\alpha\alpha}=L^{-1}_{\beta\beta}$ (those nodes $\alpha$, $\beta$ of
the network such that the network is symmetric with respect to them) is given
in terms of the first and second orthogonal polynomials associated with the
network, where $L^{-1}$ is the pseudo-inverse of the Laplacian of the network.
  From the fact that in distance-regular networks,
$L^{-1}_{\alpha\alpha}=L^{-1}_{\beta\beta}$ is satisfied for all nodes
$\alpha,\beta$ of the network, the effective resistances
$R_{\alpha\beta^{(m)}}$ for $m=1,2,...,d$ ($d$ is diameter of the network which
is the same as the number of strata) are calculated directly, by using the
given formula.
","Evaluation of effective resistances in pseudo-distance-regular resistor
  networks","Title: Calculation of Effective Resistances on Pseudo-Distance-Regular Networks

This title encapsulates the key points of the research discussed in the text:
1. It indicates that the main focus is on calculating effective resistances on pseudo-distance-regular networks.
2. It mentions the concept of pseudo-distance-regular networks,",0.81045306,baseline
"  The problem of a fermion subject to a general mixing of vector and scalar
screened Coulomb potentials in a two-dimensional world is analyzed and
quantization conditions are found.
","Unified Treatment of Mixed Vector-Scalar Screened Coulomb Potentials for
  Fermions",Quantum Interactions for Fermions with Mixing: A Two-Dimensional Perspective,0.6063798,baseline
"  We continue our investigation of the Baxter-Bazhanov-Stroganov or
\tau^{(2)}-model using the method of separation of variables
[nlin/0603028,arXiv:0708.4342]. In this paper we derive for the first time the
factorized formula for form-factors of the Ising model on a finite lattice
conjectured previously by A.Bugrij and O.Lisovyy in
[arXiv:0708.3625,arXiv:0708.3643]. We also find the matrix elements of the spin
operator for the finite quantum Ising chain in a transverse field.
","Form-factors in the Baxter-Bazhanov-Stroganov model II: Ising model on
  the finite lattice","Title: ""The Factorized Form-Factors and Matrix Elements of the Spin Operator in Transversely Fielded Quantum Ising Chains via Separation of Variables""",0.55854976,baseline
"  The ionization of hydrogen in the solar chromosphere and transition region
does not obey LTE or instantaneous statistical equilibrium because the
timescale is long compared with important hydrodynamical timescales, especially
of magneto-acoustic shocks. We implement an algorithm to compute
non-equilibrium hydrogen ionization and its coupling into the MHD equations
within an existing radiation MHD code, and perform a two-dimensional simulation
of the solar atmosphere from the convection zone to the corona. Analysis of the
simulation results and comparison to a companion simulation assuming LTE shows
that: a) Non-equilibrium computation delivers much smaller variations of the
chromospheric hydrogen ionization than for LTE. The ionization is smaller
within shocks but subsequently remains high in the cool intershock phases. As a
result, the chromospheric temperature variations are much larger than for LTE
because in non-equilibrium, hydrogen ionization is a less effective internal
energy buffer. The actual shock temperatures are therefore higher and the
intershock temperatures lower. b) The chromospheric populations of the hydrogen
n = 2 level, which governs the opacity of Halpha, are coupled to the ion
populations. They are set by the high temperature in shocks and subsequently
remain high in the cool intershock phases. c) The temperature structure and the
hydrogen level populations differ much between the chromosphere above
photospheric magnetic elements and above quiet internetwork. d) The hydrogen n
= 2 population and column density are persistently high in dynamic fibrils,
suggesting that these obtain their visibility from being optically thick in
Halpha also at low temperature.
","Non-equilibrium hydrogen ionization in 2D simulations of the solar
  atmosphere","Title: Ionization of Hydrogen in the Solar Chromosphere: A Study Beyond LTE

This title encapsulates the main findings of the research conducted by the team, highlighting the unique aspects of hydrogen ionization in the solar chromosphere, particularly focusing on non-equilibrium computations, the impact of shocks, and the persistence of",0.68187904,baseline
"  In this paper I will approach the computation of the maximum density of
regular lattices in large dimensions using a statistical mechanics approach.
The starting point will be some theorems of Roger, which are virtually unknown
in the community of physicists. Using his approach one can see that there are
many similarities (and differences) with the problem of computing the entropy
of a liquid of perfect spheres. The relation between the two problems is
investigated in details. Some conjectures are presented, that need further
investigation in order to check their consistency.
","On the most compact regular lattice in large dimensions: A statistical
  mechanical approach",Title: A Statistical Mechanics Approach to Regular Lattice Computation in High Dimensions,0.80475175,baseline
"  In this paper, we present topological black holes of third order Lovelock
gravity in the presence of cosmological constant and nonlinear electromagnetic
Born-Infeld field. Depending on the metric parameters, these solutions may be
interpreted as black hole solutions with inner and outer event horizons, an
extreme black hole or naked singularity. We investigate the thermodynamics of
asymptotically flat solutions and show that the thermodynamic and conserved
quantities of these black holes satisfy the first law of thermodynamic. We also
endow the Ricci flat solutions with a global rotation and calculate the finite
action and conserved quantities of these class of solutions by using the
counterterm method. We compute the entropy through the use of the Gibbs-Duhem
relation and find that the entropy obeys the area law. We obtain a Smarr-type
formula for the mass as a function of the entropy, the angular momenta, and the
charge, and compute temperature, angular velocities, and electric potential and
show that these thermodynamic quantities coincide with their values which are
computed through the use of geometry. Finally, we perform a stability analysis
for this class of solutions in both the canonical and the grand-canonical
ensemble and show that the presence of a nonlinear electromagnetic field and
higher curvature terms has no effect on the stability of the black branes, and
they are stable in the whole phase space.
",Topological Black Holes in Lovelock-Born-Infeld Gravity,"Title: ""Thermodynamics and Stability Analysis of Topological Black Holes in Lovelock Gravity with Nonlinear Electromagnetic Born-Infeld Field""",0.7868484,baseline
"  Debris sent into the intergalactic medium during tidal collisions can tell us
about several fundamental properties of galaxies, in particular their missing
mass, both in the form of cosmological Dark Matter and so-called Lost Baryons.
High velocity encounters, which are common in clusters of galaxies, are able to
produce faint tidal debris that may appear as star-less, free floating HI
clouds. These may be mistaken for Dark Galaxies, a putative class of gaseous,
dark matter dominated, objects which for some reason never managed to form
stars. VirgoHI21 is by far the most spectacular and most discussed Dark Galaxy
candidate so far detected in HI surveys. We show here that it is most likely
made out of material expelled 750 Myr ago from the nearby spiral galaxy NGC
4254 during its fly--by at about 1000 km/s by a massive intruder. Our numerical
model of the collision is able to reproduce the main characteristics of the
system: in particular the absence of stars, and its prominent velocity
gradient. Originally attributed to the gas being in rotation within a massive
dark matter halo, we find it instead to be consistent with a combination of
simple streaming motion plus projection effects (Duc & Bournaud, 2007). We
discuss several ways to identify a tidal origin in a Dark Galaxy candidate and
illustrate the method using another HI system in Virgo, VCC 2062, which is most
likely a Tidal Dwarf Galaxy (Duc et al., 2007). Now, whereas tidal debris
should not contain any dark matter from the halo of their parent galaxies, it
may exhibit missing mass in the form of dark baryons, unaccounted for by
classical observations, as recently found in the collisional ring of NGC 5291
(Bournaud et al., 2007) and probably in the TDG VCC 2062. These ""Lost Baryons""
must originally have been located in the disks of their parent galaxies.
",Tidal Debris posing as Dark Galaxies,Tidal Collisions: A New Window Into the Interstellar Medium,0.6287466,baseline
